seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
3826,-0.034160,0.011712,1.028704,-0.490000,-4.130000,-1.120000
3827,-0.049776,0.008784,1.052128,-1.610000,-3.010000,-1.120000
3828,-0.060512,0.003904,1.059448,-0.840000,-3.150000,-0.910000
3829,-0.061488,0.000000,1.057496,0.140000,-2.100000,-0.630000
3830,-0.050752,0.006344,1.054080,0.770000,-1.750000,0.770000
3831,-0.046848,0.000488,1.043832,0.490000,-1.120000,0.770000
3832,-0.040504,0.015128,1.039928,0.140000,-1.050000,0.910000
3833,-0.040016,0.012200,1.023336,1.260000,-0.910000,-1.050000
3834,-0.038064,-0.001952,1.016504,-0.770000,-1.820000,-2.870000
3835,-0.047336,0.007808,1.028216,-0.840000,-3.290000,-2.940000
3836,-0.043920,0.001952,1.026264,-1.540000,-2.660000,-4.270000
3837,-0.044896,0.011712,1.042856,-2.030000,-3.150000,-3.430000
3838,-0.049776,0.010736,1.064816,0.140000,-3.990000,-1.120000
3839,-0.048312,0.003904,1.057008,0.560000,-1.330000,-1.120000
3840,-0.051240,0.003904,1.056520,0.560000,-1.750000,0.210000
3841,-0.038064,0.012200,1.037488,1.820000,-0.770000,0.490000
3842,-0.042944,-0.002928,1.013088,-1.330000,-0.630000,-0.700000
3843,-0.035136,0.005856,1.015528,-1.750000,-0.070000,-0.980000
3844,-0.042456,0.003416,1.024312,-2.870000,0.280000,-1.610000
3845,-0.036112,0.012688,1.036512,-3.080000,-0.630000,-0.630000
3846,-0.041480,0.023912,1.047736,-1.330000,-3.500000,0.770000
3847,-0.047824,0.000488,1.039928,0.560000,-3.290000,0.980000
3848,-0.057096,-0.010736,1.052128,-0.980000,-1.540000,-1.610000
3849,-0.061488,-0.010248,1.051640,-1.400000,-1.330000,-1.960000
3850,-0.053680,-0.002440,1.051152,-0.980000,-0.700000,-2.520000
3851,-0.054168,-0.003904,1.043832,-1.610000,0.490000,-2.520000
3852,-0.042944,0.003416,1.042856,-0.350000,0.070000,-0.070000
3853,-0.049776,-0.001464,1.041392,0.910000,-0.210000,1.540000
3854,-0.049776,0.005368,1.034560,1.820000,-0.280000,2.730000
3855,-0.039528,0.010736,1.023824,2.800000,-0.770000,3.010000
3856,-0.037088,0.000488,1.005280,3.150000,-2.240000,2.310000
3857,-0.042944,0.000000,1.013088,1.400000,-1.890000,1.330000
3858,-0.050752,-0.007320,1.015040,-0.070000,-1.470000,-0.070000
3859,-0.043432,0.003416,1.020896,-1.750000,-0.840000,0.280000
3860,-0.047824,0.006344,1.024312,-0.140000,-1.820000,0.980000
3861,-0.042944,0.010736,1.018456,-0.700000,-0.210000,0.140000
3862,-0.043920,0.012688,1.016016,-0.070000,-1.260000,1.330000
3863,-0.037088,0.022448,1.013088,0.910000,-1.820000,2.030000
3864,-0.040016,0.022448,1.019432,2.380000,-4.130000,3.290000
3865,-0.043432,0.016104,1.019920,2.380000,-4.270000,2.940000
3866,-0.041968,0.008296,1.022848,2.450000,-4.270000,2.310000
3867,-0.045872,0.009760,1.026264,2.100000,-2.030000,1.470000
3868,-0.045872,0.010736,1.022848,2.170000,-2.730000,1.330000
3869,-0.054168,0.001952,1.023824,1.470000,-1.120000,0.070000
3870,-0.046360,0.016104,1.024800,0.910000,0.140000,-1.330000
3871,-0.043432,0.021960,1.004304,1.960000,-1.610000,-0.630000
3872,-0.032696,0.021472,1.005768,1.050000,-1.750000,-1.470000
3873,-0.036600,0.013176,1.009672,0.280000,-1.960000,-0.770000
3874,-0.036112,0.023912,1.026752,0.560000,-3.290000,1.960000
3875,-0.049288,0.007808,1.037488,2.590000,-4.200000,2.240000
