seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
5244,-0.005856,-0.006344,1.029680,0.140000,-1.960000,-0.280000
5245,-0.005856,-0.006344,1.029192,0.140000,-2.030000,-0.420000
5246,-0.005368,-0.005856,1.029192,0.140000,-1.890000,-0.350000
5247,-0.006344,-0.007808,1.028704,0.210000,-1.960000,-0.350000
5248,-0.004392,-0.007320,1.028704,0.210000,-1.820000,-0.350000
5249,-0.004880,-0.006344,1.030168,0.280000,-1.960000,-0.350000
5250,-0.004392,-0.005368,1.029680,0.140000,-1.960000,-0.420000
5252,-0.005368,-0.006344,1.028704,0.210000,-2.030000,-0.420000
5253,-0.004880,-0.008296,1.028216,0.140000,-1.960000,-0.280000
5254,-0.006344,-0.006832,1.029192,0.210000,-1.960000,-0.350000
5255,-0.005856,-0.006832,1.029680,0.210000,-1.960000,-0.420000
5256,-0.003416,-0.007320,1.028704,0.210000,-1.960000,-0.350000
5257,-0.005856,-0.007320,1.028216,0.140000,-1.960000,-0.280000
5258,-0.006832,-0.006832,1.026752,0.140000,-2.030000,-0.350000
5259,-0.005856,-0.005856,1.029192,0.140000,-2.030000,-0.280000
5260,-0.004880,-0.007320,1.027240,0.070000,-1.960000,-0.420000
5261,-0.005856,-0.006344,1.029192,0.070000,-2.030000,-0.350000
5262,-0.006344,-0.005368,1.027728,0.140000,-2.030000,-0.280000
5263,-0.005368,-0.007808,1.029192,0.210000,-2.030000,-0.420000
5264,-0.004392,-0.006344,1.028704,0.140000,-2.030000,-0.350000
5265,-0.004392,-0.007320,1.030656,0.210000,-1.890000,-0.420000
5266,-0.005368,-0.006832,1.028216,0.140000,-1.960000,-0.350000
5267,-0.005368,-0.006832,1.029680,0.140000,-1.960000,-0.350000
5268,-0.005856,-0.005856,1.028216,0.070000,-1.960000,-0.420000
5269,-0.005368,-0.006344,1.030656,0.140000,-1.960000,-0.420000
5270,-0.007320,-0.005856,1.029192,0.140000,-1.960000,-0.420000
5271,-0.004880,-0.008784,1.029680,0.210000,-2.030000,-0.350000
5272,-0.005368,-0.006344,1.027240,0.210000,-1.960000,-0.350000
5273,-0.007320,-0.008784,1.028704,0.140000,-1.960000,-0.350000
5274,-0.005368,-0.007320,1.028216,0.140000,-2.030000,-0.280000
5275,-0.005368,-0.005368,1.030168,0.140000,-1.890000,-0.350000
5276,-0.005856,-0.008296,1.028704,0.210000,-2.030000,-0.350000
5277,-0.005368,-0.006344,1.029192,0.140000,-2.100000,-0.420000
5278,-0.005368,-0.005368,1.026752,0.210000,-1.960000,-0.350000
5279,-0.005368,-0.006344,1.027728,0.140000,-1.960000,-0.350000
5280,-0.006832,-0.005856,1.029192,0.210000,-2.030000,-0.350000
5281,-0.006344,-0.007320,1.030168,0.140000,-1.890000,-0.280000
5282,-0.004880,-0.008784,1.028704,0.140000,-2.030000,-0.350000
5283,-0.008296,-0.006832,1.027240,0.210000,-1.960000,-0.350000
5284,-0.005856,-0.004880,1.028216,0.140000,-1.890000,-0.350000
5285,-0.004392,-0.005368,1.029680,0.140000,-1.960000,-0.420000
5286,-0.007808,-0.005368,1.026752,0.140000,-1.960000,-0.420000
5287,-0.003904,-0.006344,1.028216,0.140000,-2.030000,-0.350000
5288,-0.004392,-0.006344,1.029192,0.210000,-1.960000,-0.350000
5289,-0.002440,-0.005856,1.029680,0.210000,-1.960000,-0.350000
5290,-0.002928,-0.008296,1.027728,0.140000,-2.030000,-0.490000
5291,-0.003904,-0.006344,1.029192,0.070000,-2.030000,-0.420000
5292,-0.007320,-0.006832,1.029680,0.140000,-1.960000,-0.350000
5293,-0.005856,-0.007320,1.027240,0.070000,-1.960000,-0.350000
5294,-0.005856,-0.008296,1.028704,0.140000,-1.960000,-0.490000
5295,-0.006344,-0.005856,1.026752,0.140000,-1.960000,-0.280000
5296,-0.006832,-0.006344,1.028704,0.210000,-1.890000,-0.420000
5297,-0.006344,-0.007320,1.030168,0.210000,-2.030000,-0.350000
5298,-0.007320,-0.005856,1.027728,0.140000,-1.960000,-0.350000
5299,-0.007320,-0.007320,1.030656,0.210000,-1.960000,-0.420000
5300,-0.007808,-0.005368,1.028704,0.140000,-1.960000,-0.280000
5301,-0.004392,-0.005368,1.029192,0.140000,-1.960000,-0.350000
5302,-0.004880,-0.006832,1.028216,0.140000,-1.960000,-0.420000
5303,-0.004392,-0.006832,1.027240,0.210000,-2.030000,-0.350000
5304,-0.006344,-0.005856,1.026752,0.140000,-2.030000,-0.420000
5305,-0.006832,-0.006832,1.028704,0.210000,-2.030000,-0.420000
5306,-0.005368,-0.005368,1.027728,0.140000,-1.890000,-0.350000
5308,-0.004392,-0.005856,1.026752,0.140000,-2.100000,-0.420000
5309,-0.007808,-0.007808,1.029192,0.210000,-2.030000,-0.350000
5311,-0.005368,-0.007320,1.027728,0.210000,-2.030000,-0.350000
5312,-0.007320,-0.007320,1.028216,0.140000,-1.960000,-0.350000
5313,-0.003904,-0.006832,1.028216,0.140000,-1.960000,-0.420000
5314,-0.004880,-0.003904,1.028216,0.140000,-2.030000,-0.350000
5315,-0.005368,-0.006344,1.028704,0.140000,-2.030000,-0.350000
5316,-0.006344,-0.006832,1.026752,0.140000,-1.890000,-0.350000
5317,-0.004392,-0.007320,1.029680,0.070000,-1.960000,-0.350000
5318,-0.005368,-0.008296,1.029680,0.210000,-2.030000,-0.280000
5319,-0.006344,-0.007320,1.026752,0.140000,-1.960000,-0.350000
5320,-0.004392,-0.006832,1.028216,0.280000,-2.030000,-0.280000
5321,-0.006344,-0.005856,1.027728,0.140000,-1.960000,-0.350000
5323,-0.005856,-0.004392,1.028704,0.140000,-1.960000,-0.280000
5325,-0.004880,-0.007320,1.030656,0.140000,-2.030000,-0.350000
5326,-0.005368,-0.006832,1.028704,0.140000,-2.030000,-0.350000
5327,-0.005368,-0.006832,1.028704,0.140000,-2.100000,-0.350000
5328,-0.005856,-0.006344,1.030168,0.140000,-1.960000,-0.280000
5329,-0.007320,-0.008296,1.029680,0.210000,-2.030000,-0.210000
5330,-0.006344,-0.005856,1.028704,0.210000,-2.030000,-0.350000
5331,-0.004392,-0.007320,1.027240,0.070000,-1.960000,-0.280000
5332,-0.007320,-0.007320,1.028216,0.140000,-2.030000,-0.350000
5333,-0.003904,-0.007320,1.028216,0.140000,-1.960000,-0.350000
5334,-0.005856,-0.007320,1.028704,0.140000,-2.030000,-0.280000
5335,-0.005856,-0.006832,1.028704,0.070000,-2.030000,-0.350000
5336,-0.006832,-0.007808,1.027240,0.140000,-2.030000,-0.490000
5337,-0.008784,-0.006344,1.028216,0.140000,-2.100000,-0.350000
5338,-0.006344,-0.006832,1.028216,0.140000,-1.960000,-0.350000
