seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
1989,-0.362096,0.041968,1.029192,0.350000,-1.680000,-42.630001
1990,0.212280,-0.107848,1.034072,0.000000,-2.170000,-2.100000
1991,-0.012200,-0.008784,1.029680,0.350000,-2.170000,-0.420000
1992,-0.009272,-0.012200,1.029680,0.280000,-1.960000,-0.350000
1993,-0.009272,-0.010248,1.028704,0.140000,-2.100000,-0.350000
1994,-0.010736,-0.009272,1.030168,0.140000,-2.030000,-0.420000
1995,-0.010248,-0.008784,1.029192,0.140000,-1.960000,-0.280000
1996,-0.011712,-0.011712,1.028216,0.070000,-2.100000,-0.350000
1997,-0.009760,-0.010248,1.029680,0.140000,-2.030000,-0.420000
1998,-0.012200,-0.010736,1.030168,0.140000,-1.960000,-0.350000
1999,-0.010736,-0.010736,1.029680,0.140000,-1.960000,-0.350000
2000,-0.011224,-0.009272,1.029680,0.210000,-2.030000,-0.420000
2001,-0.010248,-0.010736,1.030168,0.210000,-2.100000,-0.350000
2002,-0.010736,-0.012200,1.031144,0.070000,-1.960000,-0.420000
2003,-0.011224,-0.012200,1.031144,0.140000,-2.170000,-0.420000
2004,-0.010736,-0.009760,1.030656,0.140000,-2.030000,-0.350000
2005,-0.010248,-0.011224,1.028704,0.070000,-2.030000,-0.280000
2006,-0.010736,-0.012200,1.027728,0.210000,-2.030000,-0.350000
2007,-0.011224,-0.009760,1.030656,0.140000,-2.100000,-0.350000
2008,-0.008784,-0.009760,1.030656,0.140000,-1.960000,-0.420000
2009,-0.008296,-0.010248,1.029680,0.210000,-1.960000,-0.350000
2010,-0.010736,-0.009760,1.029192,0.070000,-2.100000,-0.350000
2011,-0.010248,-0.010736,1.031632,0.140000,-2.030000,-0.350000
2012,-0.010248,-0.010736,1.030168,0.140000,-2.030000,-0.350000
2013,-0.010736,-0.011224,1.028704,0.210000,-2.030000,-0.350000
2014,-0.010248,-0.011224,1.029680,0.140000,-2.030000,-0.350000
2015,-0.010248,-0.009272,1.029192,0.140000,-2.030000,-0.280000
2016,-0.010736,-0.010736,1.029680,0.140000,-2.100000,-0.420000
2017,-0.010736,-0.010736,1.029680,0.140000,-2.100000,-0.420000
2018,-0.010736,-0.011224,1.028704,0.210000,-2.100000,-0.350000
2019,-0.010736,-0.009760,1.029192,0.210000,-2.030000,-0.280000
2020,-0.009272,-0.008296,1.029192,0.140000,-2.100000,-0.420000
2021,-0.009272,-0.008784,1.029680,0.140000,-2.030000,-0.350000
2022,-0.007808,-0.010248,1.029680,0.210000,-2.100000,-0.350000
2023,-0.009272,-0.010736,1.029192,0.210000,-2.100000,-0.350000
2024,-0.012688,-0.010248,1.030168,0.210000,-2.100000,-0.350000
2025,-0.010736,-0.010736,1.029192,0.210000,-2.100000,-0.350000
2026,-0.010248,-0.010248,1.028704,0.210000,-2.030000,-0.420000
2027,-0.011712,-0.010248,1.028704,0.210000,-2.030000,-0.420000
2028,-0.011712,-0.008784,1.028216,0.210000,-2.030000,-0.420000
2029,-0.009760,-0.009760,1.028704,0.140000,-1.960000,-0.350000
2030,-0.009760,-0.010248,1.031144,0.140000,-2.100000,-0.280000
2031,-0.010248,-0.009272,1.029192,0.210000,-1.960000,-0.350000
2032,-0.010248,-0.009760,1.028704,0.210000,-2.030000,-0.350000
2033,-0.011224,-0.010248,1.029680,0.140000,-2.100000,-0.420000
2034,-0.009760,-0.010248,1.031144,0.140000,-1.960000,-0.350000
2035,-0.012200,-0.010248,1.028704,0.210000,-2.030000,-0.350000
2036,-0.011224,-0.010736,1.029192,0.140000,-2.030000,-0.350000
2037,-0.008296,-0.010736,1.030656,0.210000,-1.960000,-0.350000
2038,-0.008784,-0.011712,1.029192,0.140000,-1.960000,-0.420000
2039,-0.010736,-0.010248,1.029192,0.070000,-2.030000,-0.420000
2040,-0.009760,-0.011712,1.030168,0.210000,-2.030000,-0.420000
2041,-0.008296,-0.010248,1.030656,0.210000,-2.030000,-0.350000
2042,-0.011712,-0.012688,1.028216,0.140000,-2.030000,-0.420000
2043,-0.010248,-0.011224,1.028704,0.140000,-2.100000,-0.350000
2044,-0.011224,-0.012688,1.026264,0.140000,-2.100000,-0.420000
2045,-0.011712,-0.011712,1.029192,0.210000,-2.100000,-0.420000
2046,-0.008296,-0.011224,1.028704,0.210000,-1.960000,-0.280000
