seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
3432,-0.005368,-0.006344,1.029680,0.210000,-2.030000,-0.350000
3433,-0.004880,-0.006832,1.030168,0.210000,-2.030000,-0.420000
3434,-0.002928,-0.009760,1.028216,0.140000,-2.030000,-0.420000
3435,-0.002928,-0.009272,1.028216,0.140000,-1.960000,-0.490000
3436,-0.003904,-0.005856,1.029192,0.210000,-2.030000,-0.420000
3437,-0.004392,-0.007320,1.030168,0.140000,-1.890000,-0.350000
3438,-0.005368,-0.003904,1.030168,0.140000,-1.890000,-0.420000
3439,-0.006344,-0.005856,1.027240,0.210000,-1.820000,-0.420000
3440,-0.007808,-0.004392,1.028704,0.210000,-1.960000,-0.350000
3441,-0.008784,-0.005368,1.030168,0.140000,-1.960000,-0.350000
3442,-0.007320,-0.005368,1.027728,0.210000,-2.030000,-0.350000
3443,-0.006832,-0.004392,1.028704,0.210000,-1.890000,-0.420000
3444,-0.007320,-0.003416,1.028216,0.140000,-2.030000,-0.210000
3445,-0.006832,-0.004392,1.032120,0.070000,-1.890000,-0.280000
3446,-0.003904,-0.005368,1.027728,0.140000,-1.960000,-0.280000
3447,-0.005368,-0.005368,1.027728,0.140000,-1.890000,-0.350000
3448,-0.001952,-0.005856,1.027728,0.140000,-1.960000,-0.280000
3449,-0.005856,-0.005856,1.028216,0.210000,-2.030000,-0.280000
3450,-0.004392,-0.007808,1.026752,0.140000,-2.030000,-0.420000
3451,-0.003904,-0.005856,1.027728,0.140000,-1.960000,-0.420000
3452,-0.004880,-0.005856,1.029680,0.070000,-1.960000,-0.420000
3453,-0.003904,-0.007320,1.027728,0.140000,-2.030000,-0.350000
3454,-0.005856,-0.006832,1.030656,0.210000,-1.960000,-0.350000
3455,-0.006832,-0.007808,1.029192,0.140000,-2.030000,-0.420000
3456,-0.004392,-0.006832,1.029192,0.210000,-2.030000,-0.420000
3457,-0.004880,-0.005856,1.029192,0.140000,-1.960000,-0.350000
3458,-0.002928,-0.006344,1.028704,0.140000,-1.960000,-0.420000
3459,-0.003904,-0.006344,1.030168,0.140000,-2.030000,-0.420000
3460,-0.003904,-0.006344,1.029680,0.140000,-1.960000,-0.420000
3461,-0.003416,-0.006832,1.028704,0.140000,-1.960000,-0.350000
3462,-0.005856,-0.007808,1.029680,0.140000,-1.890000,-0.350000
3463,-0.004392,-0.006832,1.028216,0.210000,-2.030000,-0.420000
3464,-0.005368,-0.007320,1.030168,0.280000,-2.030000,-0.420000
3465,-0.003904,-0.007808,1.029192,0.210000,-1.960000,-0.350000
3466,-0.002440,-0.006832,1.030168,0.210000,-2.030000,-0.350000
