seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
70,-0.005856,-0.007320,1.030168,0.210000,-1.960000,-0.350000
71,-0.006344,-0.006344,1.031144,0.210000,-1.960000,-0.350000
72,-0.008296,-0.005368,1.031144,0.140000,-2.030000,-0.420000
73,-0.005856,-0.006344,1.031144,0.140000,-2.030000,-0.350000
74,-0.005368,-0.006832,1.031144,0.140000,-2.030000,-0.350000
75,-0.008296,-0.007320,1.029680,0.140000,-2.030000,-0.350000
76,-0.009272,-0.006344,1.029680,0.210000,-2.030000,-0.350000
77,-0.006344,-0.005368,1.029192,0.210000,-1.960000,-0.350000
78,-0.005368,-0.004880,1.030168,0.140000,-1.960000,-0.350000
79,-0.006344,-0.005856,1.031632,0.140000,-1.960000,-0.350000
80,-0.007320,-0.006832,1.028704,0.140000,-1.960000,-0.350000
81,-0.007320,-0.004880,1.028704,0.140000,-1.960000,-0.350000
82,-0.005368,-0.005856,1.031632,0.210000,-2.030000,-0.280000
83,-0.008784,-0.007320,1.030656,0.210000,-1.960000,-0.280000
84,-0.005856,-0.007320,1.031632,0.070000,-1.890000,-0.350000
85,-0.007808,-0.005856,1.030656,0.140000,-1.960000,-0.420000
86,-0.006832,-0.006344,1.029680,0.140000,-1.960000,-0.420000
87,-0.005856,-0.007320,1.032120,0.210000,-2.030000,-0.420000
88,-0.006832,-0.005856,1.032608,0.140000,-1.890000,-0.350000
89,-0.006344,-0.007320,1.031144,0.140000,-1.960000,-0.350000
90,-0.006832,-0.004392,1.031144,0.210000,-1.960000,-0.350000
91,-0.006344,-0.005856,1.031632,0.140000,-2.030000,-0.350000
92,-0.006832,-0.007320,1.031632,0.210000,-1.960000,-0.350000
93,-0.006344,-0.005856,1.029192,0.210000,-2.030000,-0.350000
94,-0.007320,-0.006344,1.029680,0.140000,-2.100000,-0.350000
95,-0.007320,-0.005368,1.031632,0.140000,-1.960000,-0.350000
96,-0.006832,-0.004880,1.032608,0.140000,-1.960000,-0.420000
97,-0.008784,-0.004880,1.028704,0.140000,-1.960000,-0.350000
98,-0.005856,-0.005368,1.031632,0.140000,-1.960000,-0.350000
99,-0.006832,-0.005368,1.029192,0.140000,-1.960000,-0.350000
100,-0.006832,-0.004392,1.030168,0.210000,-2.030000,-0.280000
101,-0.006344,-0.006344,1.031632,0.210000,-1.960000,-0.350000
102,-0.004880,-0.006344,1.032120,0.140000,-2.030000,-0.350000
103,-0.005856,-0.004880,1.031144,0.210000,-1.960000,-0.420000
104,-0.007320,-0.004392,1.031632,0.210000,-1.820000,-0.490000
105,-0.006832,-0.006832,1.031144,0.210000,-1.960000,-0.350000
106,-0.006832,-0.004880,1.030656,0.140000,-1.960000,-0.350000
107,-0.007320,-0.005368,1.029680,0.140000,-1.960000,-0.420000
108,-0.006344,-0.006344,1.031632,0.140000,-2.030000,-0.420000
109,-0.008296,-0.005856,1.031144,0.140000,-1.960000,-0.420000
110,-0.006344,-0.006832,1.030168,0.140000,-2.030000,-0.420000
111,-0.006344,-0.006832,1.027728,0.210000,-1.890000,-0.350000
112,-0.007808,-0.005856,1.029192,0.140000,-2.030000,-0.420000
113,-0.007808,-0.005368,1.030168,0.070000,-1.890000,-0.350000
114,-0.005856,-0.005368,1.029192,0.140000,-1.960000,-0.280000
115,-0.006832,-0.006832,1.029192,0.140000,-1.960000,-0.350000
116,-0.006832,-0.006832,1.031144,0.070000,-1.960000,-0.350000
117,-0.006832,-0.005856,1.030168,0.280000,-2.030000,-0.350000
118,-0.007320,-0.004880,1.027728,0.140000,-1.960000,-0.420000
119,-0.007320,-0.006344,1.031632,0.210000,-2.030000,-0.350000
120,-0.008296,-0.007320,1.031144,0.140000,-1.960000,-0.490000
121,-0.007320,-0.005368,1.029680,0.140000,-1.960000,-0.420000
122,-0.008296,-0.006344,1.031144,0.210000,-2.030000,-0.350000
123,-0.007808,-0.006344,1.032608,0.210000,-2.030000,-0.350000
124,-0.006832,-0.006344,1.031144,0.210000,-1.960000,-0.350000
125,-0.007320,-0.006344,1.028704,0.140000,-1.890000,-0.350000
126,-0.007320,-0.003416,1.031632,0.140000,-1.960000,-0.350000
127,-0.007808,-0.006344,1.031632,0.210000,-1.960000,-0.490000
128,-0.004880,-0.007320,1.030656,0.140000,-2.100000,-0.280000
129,-0.009272,-0.005856,1.030656,0.140000,-1.890000,-0.350000
130,-0.006344,-0.005856,1.028704,0.140000,-2.100000,-0.350000
131,-0.007320,-0.006344,1.033096,0.140000,-2.030000,-0.280000
132,-0.008296,-0.008784,1.029680,0.070000,-1.960000,-0.420000
133,-0.007320,-0.005368,1.030168,0.070000,-1.960000,-0.350000
134,-0.007808,-0.004880,1.031632,0.140000,-2.100000,-0.420000
135,-0.006832,-0.005856,1.032120,0.140000,-1.960000,-0.350000
136,-0.005856,-0.005368,1.029680,0.140000,-1.960000,-0.280000
137,-0.005368,-0.006832,1.027240,0.210000,-1.960000,-0.420000
138,-0.006832,-0.003904,1.030656,0.210000,-1.890000,-0.280000
139,-0.006344,-0.008296,1.031632,0.140000,-1.960000,-0.420000
140,-0.007808,-0.005856,1.029680,0.140000,-2.030000,-0.280000
141,-0.006344,-0.006344,1.032120,0.140000,-1.960000,-0.350000
142,-0.005368,-0.005368,1.031632,0.210000,-1.960000,-0.280000
143,-0.006344,-0.005368,1.032608,0.140000,-1.960000,-0.350000
144,-0.006344,-0.005368,1.030656,0.210000,-2.030000,-0.280000
145,-0.007320,-0.006832,1.031144,0.140000,-1.960000,-0.350000
146,-0.007808,-0.004392,1.029680,0.070000,-1.960000,-0.420000
147,-0.007808,-0.006344,1.032608,0.140000,-2.100000,-0.420000
148,-0.004880,-0.005856,1.030168,0.210000,-1.960000,-0.280000
149,-0.006832,-0.004880,1.029680,0.070000,-1.960000,-0.350000
150,-0.007320,-0.006344,1.030168,0.140000,-1.960000,-0.350000
151,-0.005856,-0.005368,1.030168,0.140000,-1.960000,-0.280000
152,-0.004392,-0.007320,1.029680,0.140000,-1.960000,-0.280000
153,-0.008784,-0.004880,1.030656,0.140000,-1.960000,-0.280000
154,-0.006344,-0.005368,1.030168,0.140000,-1.890000,-0.350000
155,-0.006344,-0.006344,1.029192,0.140000,-1.960000,-0.420000
156,-0.006832,-0.004880,1.031632,0.210000,-2.030000,-0.350000
157,-0.005856,-0.008784,1.029680,0.140000,-1.960000,-0.280000
158,-0.005856,-0.005856,1.031632,0.140000,-1.960000,-0.350000
159,-0.005368,-0.006832,1.031632,0.140000,-1.960000,-0.420000
160,-0.007320,-0.005856,1.031632,0.280000,-1.960000,-0.350000
161,-0.006344,-0.005856,1.030168,0.140000,-1.890000,-0.350000
162,-0.007320,-0.007320,1.029680,0.210000,-1.890000,-0.280000
163,-0.006344,-0.007320,1.032608,0.140000,-1.960000,-0.280000
164,-0.005856,-0.003416,1.030168,0.210000,-1.960000,-0.420000
165,-0.006832,-0.006832,1.028704,0.140000,-2.030000,-0.280000
166,-0.008784,-0.004392,1.030656,0.070000,-1.890000,-0.420000
167,-0.006344,-0.006344,1.030168,0.140000,-1.960000,-0.420000
168,-0.005856,-0.006832,1.031144,0.210000,-1.960000,-0.280000
169,-0.006344,-0.007808,1.030656,0.140000,-2.030000,-0.350000
170,-0.009272,-0.005856,1.031144,0.140000,-1.890000,-0.350000
171,-0.006832,-0.004880,1.029192,0.210000,-1.960000,-0.350000
172,-0.007808,-0.007320,1.031144,0.210000,-1.960000,-0.420000
173,-0.006832,-0.004880,1.031632,0.140000,-1.890000,-0.350000
174,-0.005856,-0.006832,1.029192,0.140000,-2.030000,-0.420000
175,-0.005856,-0.005856,1.031632,0.140000,-2.030000,-0.280000
176,-0.008296,-0.005368,1.031144,0.210000,-2.030000,-0.350000
177,-0.007320,-0.006344,1.030656,0.140000,-2.030000,-0.350000
178,-0.005856,-0.003416,1.030656,0.140000,-1.960000,-0.280000
179,-0.006344,-0.005856,1.030168,0.210000,-1.960000,-0.420000
180,-0.008784,-0.006344,1.028704,0.140000,-1.890000,-0.350000
181,-0.007808,-0.007320,1.030656,0.140000,-2.030000,-0.350000
182,-0.007808,-0.007320,1.027240,0.210000,-1.890000,-0.350000
183,-0.009272,-0.005368,1.031144,0.140000,-2.030000,-0.350000
