seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
595,-0.006344,-0.004880,1.029680,0.140000,-2.030000,-0.350000
596,-0.006832,-0.004392,1.028704,0.140000,-1.960000,-0.420000
597,-0.006344,-0.003416,1.028704,0.140000,-2.030000,-0.350000
598,-0.004392,-0.004880,1.027728,0.140000,-1.960000,-0.350000
599,-0.005368,-0.003904,1.028704,0.140000,-1.960000,-0.420000
600,-0.003416,-0.006344,1.029192,0.140000,-2.100000,-0.280000
601,-0.003904,-0.005856,1.027728,0.210000,-2.030000,-0.420000
602,-0.002928,-0.006832,1.027728,0.140000,-2.030000,-0.490000
604,-0.003416,-0.007808,1.029680,0.140000,-2.030000,-0.420000
606,-0.006344,-0.005368,1.027728,0.140000,-1.960000,-0.420000
607,-0.003904,-0.007808,1.027728,0.140000,-1.890000,-0.420000
608,-0.005368,-0.005856,1.026264,0.070000,-1.960000,-0.420000
609,-0.006832,-0.005368,1.027728,0.140000,-1.960000,-0.350000
610,-0.003904,-0.003416,1.028216,0.210000,-1.960000,-0.350000
611,-0.006832,-0.004392,1.028704,0.140000,-1.890000,-0.420000
612,-0.003904,-0.005368,1.029192,0.140000,-1.960000,-0.490000
613,-0.005368,-0.004880,1.029680,0.140000,-2.030000,-0.350000
614,-0.002928,-0.004880,1.026752,0.210000,-1.960000,-0.350000
615,-0.004880,-0.003904,1.028216,0.140000,-2.030000,-0.350000
616,-0.004880,-0.005368,1.026752,0.140000,-2.100000,-0.490000
617,-0.003904,-0.005368,1.028704,0.210000,-1.960000,-0.420000
618,-0.002928,-0.004880,1.028216,0.140000,-1.960000,-0.420000
619,-0.006832,-0.005368,1.027240,0.140000,-1.890000,-0.420000
620,-0.006344,-0.007808,1.028704,0.140000,-1.960000,-0.350000
621,-0.007320,-0.005368,1.027240,0.140000,-1.960000,-0.350000
622,-0.008296,-0.005368,1.028704,0.210000,-2.030000,-0.490000
623,-0.004880,-0.004392,1.029680,0.140000,-2.030000,-0.350000
